Approved symbol,Approved name,Accession numbers,UniProt ID,ENTREZ ID,Ensembl ID
OR5BH1P,olfactory receptor family 5 subfamily BH member 1 pseudogene,,,81075,ENSG00000242610
AC131056.6,,,,,
RNA5S9,"RNA, 5S ribosomal 9",,,100169760,ENSG00000201321
SNORD115-5,"small nucleolar RNA, C/D box 115-5",AF250841,,100033442,ENSG00000200503
TRMT61B,tRNA methyltransferase 61B,BC010365,Q9BVS5,55006,ENSG00000171103
AC117490.2,,,,,
RP11-24D15.1,,,,,
RP11-1024P17.1,,,,,
OR2A42,olfactory receptor family 2 subfamily A member 42,,Q8NGT9,402317,ENSG00000212807
PPS1,,,,,
BPT1,,,,,
RPS7P8,ribosomal protein S7 pseudogene 8,,,442237,ENSG00000213183
PRP42,,,,,
DUO1,,,,,
CDH22,cadherin 22,AF035300,Q9UJ99,64405,ENSG00000149654
MIR4422,microRNA 4422,,,100616272,
RNU6-499P,"RNA, U6 small nuclear 499, pseudogene",,,106479787,ENSG00000202485
RP11-108M9.2,,,,,
ARID4A,AT-rich interaction domain 4A,S57153,P29374,5926,ENSG00000032219
RP11-1191J2.4,,,,,
AC090673.1,,,,,
MITD1,microtubule interacting and trafficking domain containing 1,BC018453,Q8WV92,129531,ENSG00000158411
CTBP1-DT,CTBP1 divergent transcript,AK056133,,92070,ENSG00000196810
RPL32P5,ribosomal protein L32 pseudogene 5,,,23754,
HTR7P1,5-hydroxytryptamine receptor 7 pseudogene 1,U86813,,93164,ENSG00000183935
KRT8P41,keratin 8 pseudogene 41,,,283102,ENSG00000213538
AL360297.1,,,,,
AC093334.1,,,,,
RBBP4P6,RBBP4 pseudogene 6,,,,ENSG00000248674
ZNF681,zinc finger protein 681,AK056088,Q96N22,148213,ENSG00000196172
AC103564.7,,,,,
htpX,,,,,
AC004878.8,,,,,
KNSTRN,kinetochore localized astrin (SPAG5) binding protein,AK027408,Q9Y448,90417,ENSG00000128944
TLR9,toll like receptor 9,AF259262,Q9NR96,54106,ENSG00000239732
RP1-139D8.6,,,,,
AC005071.1,,,,,
RAX1,,,,,
RP11-232D9.3,,,,,
ARMCX5,armadillo repeat containing X-linked 5,,Q6P1M9,64860,ENSG00000125962
CCDC102A,coiled-coil domain containing 102A,BC008285,Q96A19,92922,ENSG00000135736
HTR3A,5-hydroxytryptamine receptor 3A,D49394,P46098,3359,ENSG00000166736
OR8F1P,olfactory receptor family 8 subfamily F member 1 pseudogene,,,390269,ENSG00000239426
KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,AF076531,Q9Y6H6,10008,
SMG1P5,SMG1 pseudogene 5,,,595101,ENSG00000183604
STPG2-AS1,STPG2 antisense RNA 1,DA719663,,,ENSG00000251620
RN7SL109P,,,,,
RP11-40H20.5,,,,,
dnaC,,,,,
EGOT,eosinophil granule ontogeny transcript,BC039547,,100126791,ENSG00000235947
PRAMEF2,PRAME family member 2,,O60811,65122,ENSG00000120952
RP11-488C13.6,,,,,
SLC16A12-AS1,SLC16A12 antisense RNA 1,,,101926906,ENSG00000234452
MIR8054,microRNA 8054,,,102465860,
SPAC24B11.08c,,,,,
BAG6,BCL2 associated athanogene 6,M31294,P46379,7917,ENSG00000204463
ADAD1P2,adenosine deaminase domain containing 1 pseudogene 2,,,100422407,ENSG00000267511
vrp1,,,,,
HBS1L,HBS1 like translational GTPase,U87791,Q9Y450,10767,ENSG00000112339
MIR1293,microRNA 1293,,,100302220,ENSG00000221604
RP11-171N4.1,,,,,
PIGAP1,phosphatidylinositol glycan anchor biosynthesis class A pseudogene 1,X77457,,5278,
ATG4B,autophagy related 4B cysteine peptidase,AB023160,Q9Y4P1,23192,ENSG00000168397
GYG1P1,glycogenin 1 pseudogene 1,,,100132965,ENSG00000251633
AC008992.1,,,,,
QTRTD1,,,,,
RP11-585K6.2,,,,,
TBX10,T-box 10,AH006177,O75333,347853,ENSG00000167800
ERVK-7,endogenous retrovirus group K member 7,BC092439,"P61567, P61582, P63130, P63131, P63135",449619,
SELL,selectin L,M25280,P14151,6402,ENSG00000188404
dsl-7,,,,,
RAB18,"RAB18, member RAS oncogene family",AJ277145,Q9NP72,22931,ENSG00000099246
PTPN2,protein tyrosine phosphatase non-receptor type 2,M25393,P17706,5771,ENSG00000175354
RP11-136K14.2,,,,,
RP11-142L1.3,,,,,
SPBC106.12c,,,,,
LINC01020,long intergenic non-protein coding RNA 1020,,,340094,ENSG00000215231
SCP2,sterol carrier protein 2,M75884,P22307,6342,ENSG00000116171
AC104841.1,,,,,
Y_RNA.473,,,,,
lin-7,,,,,
CYMP-AS1,CYMP antisense RNA 1,,,440602,ENSG00000235407
SIGLEC12,sialic acid binding Ig like lectin 12 (gene/pseudogene),AF282256,Q96PQ1,89858,ENSG00000254521
SRD5A3,steroid 5 alpha-reductase 3,AK023414,Q9H8P0,79644,ENSG00000128039
ZC3H13,zinc finger CCCH-type containing 13,AB020660,Q5T200,23091,ENSG00000123200
DFNB92,"deafness, autosomal recessive 92",,,,
LOC344382,,,,,
RPS3AP51,ribosomal protein S3a pseudogene 51,,,100271600,
MANSC1,MANSC domain containing 1,AK001160,Q9H8J5,54682,
CYCSP29,CYCS pseudogene 29,AF533190,,360180,ENSG00000255379
SPART-AS1,SPART antisense RNA 1,,P0CW21,100507135,ENSG00000120664
RAD1P2,RAD1 pseudogene 2,,,100129690,ENSG00000233473
RPL36AP11,ribosomal protein L36a pseudogene 11,,,100129180,
TRBV14,T cell receptor beta variable 14,X06154,A0A5B0,28573,ENSG00000275743
LRRC69,leucine rich repeat containing 69,AK130865,Q6ZNQ3,100130742,ENSG00000214954
yecF,,,,,
RPL21P101,ribosomal protein L21 pseudogene 101,,,100271431,
C18orf61,,,,,
RNU6-269P,"RNA, U6 small nuclear 269, pseudogene",,,106481263,ENSG00000212379
SCARNA16.1,,,,,
csr102,,,,,
RP11-122D10.1,,,,,
RP11-750H9.7,,,,,
AIFM3,apoptosis inducing factor mitochondria associated 3,AK094844,Q96NN9,150209,ENSG00000183773
ZNF578,zinc finger protein 578,AK095562,Q96N58,147660,ENSG00000258405
CCDC33,coiled-coil domain containing 33,BC025689,Q8N5R6,80125,
FAM180B,family with sequence similarity 180 member B,BC065704,Q6P0A1,399888,ENSG00000196666
OLFM4,olfactomedin 4,AY358567,Q6UX06,10562,ENSG00000102837
AC017028.2,,,,,
AFT1,,,,,
RP11-643N23.2,,,,,
LOC374443,,,,,
YCR007C,,,,,
PLCG1-AS1,PLCG1 antisense RNA 1,,,101927117,ENSG00000226648
CTC-296K1.3,,,,,
RP11-434J24.3,,,,,
RP11-148O21.3,,,,,
AL033381.1,,,,,
PHBP11,prohibitin pseudogene 11,,,644214,ENSG00000227621
HSPD1P19,heat shock protein family D (Hsp60) member 1 pseudogene 19,,,100463288,
PRP46,,,,,
shiA,,,,,
FAM13C,family with sequence similarity 13 member C,U79304,Q8NE31,220965,ENSG00000148541
MIR1256,microRNA 1256,,,100302155,ENSG00000221808
CELA3A,chymotrypsin like elastase 3A,D00306,P09093,10136,ENSG00000142789
EYS,eyes shut homolog,,Q5T1H1,346007,ENSG00000188107
mhf1,,,,,
AC116606.1,,,,,
SPRYD3,SPRY domain containing 3,AK074694,Q8NCJ5,84926,ENSG00000167778
HCVS,human coronavirus sensitivity,,,,
LINC01985,long intergenic non-protein coding RNA 1985,,,101928015,ENSG00000227260
MSLN,mesothelin,U40434,Q13421,10232,ENSG00000102854
RN7SKP69,"RNA, 7SK small nuclear pseudogene 69",,,106480461,ENSG00000202260
PDE6H,phosphodiesterase 6H,,Q13956,5149,
RPT3,,,,,
uspG,,,,,
FAM90A15P,"family with sequence similarity 90 member A15, pseudogene",,P0C7V4,389630,ENSG00000230045
AL359987.1,,,,,
CTB-102L5.8,,,,,
LINC01648,long intergenic non-protein coding RNA 1648,,,101929406,ENSG00000233399
LINC02059,long intergenic non-protein coding RNA 2059,,,100505878,ENSG00000250544
KB-1582A10.1,,,,,
PTC2,,,,,
amiB,,,,,
AC005150.1,,,,,
AP000647.3,,,,,
ydhP,,,,,
CELA2B,chymotrypsin like elastase 2B,,P08218,51032,ENSG00000215704
AC005027.3,,,,,
OR5AN2P,olfactory receptor family 5 subfamily AN member 2 pseudogene,,,81224,ENSG00000235678
CDRT2,CMT1A duplicated region transcript 2,,,94144,
MIR3118-1,microRNA 3118-1,,,100423008,
IQSEC3P2,IQ motif and Sec7 domain 3 pseudogene 2,,,100130073,
AC140076.1,,,,,
P4HA3,prolyl 4-hydroxylase subunit alpha 3,AY327887,Q7Z4N8,283208,ENSG00000149380
TTLL12,tubulin tyrosine ligase like 12,D63487,Q14166,23170,ENSG00000100304
SNORD103B,"small nucleolar RNA, C/D box 103B",,,692235,
AP000974.1,,,,,
VN1R28P,vomeronasal 1 receptor 28 pseudogene,,,100312785,ENSG00000227182
ARRDC1-AS1,ARRDC1 antisense RNA 1,AF267857,Q9H2J1,85026,ENSG00000203993
LINC00353,long intergenic non-protein coding RNA 353,,,100874139,ENSG00000236176
cgi121,,,,,
CTD-2240H23.2,,,,,
AC122714.1,,,,,
HO,,,,,
RP11-196I18.2,,,,,
rnd,,,,,
RP5-857K21.2,,,,,
AC020601.1,,,,,
RP11-22A3.2,,,,,
TRQ-TTG6-1,transfer RNA-Gln (TTG) 6-1,HG983748,,100189026,
RNU6-1210P,"RNA, U6 small nuclear 1210, pseudogene",,,106481562,ENSG00000200645
TLE1,"TLE family member 1, transcriptional corepressor",,Q04724,7088,ENSG00000196781
RNU6-469P,"RNA, U6 small nuclear 469, pseudogene",,,106481327,ENSG00000252062
DYNAP,dynactin associated protein,AK096425,Q8N1N2,284254,ENSG00000178690
TMCC1P1,transmembrane and coiled-coil domain family 1 pseudogene 1,,,100128132,ENSG00000253318
ZP1,zona pellucida glycoprotein 1,BC067899,P60852,22917,ENSG00000149506
SEPT2,septin 2,D28540,Q15019,4735,ENSG00000168385
RP11-1094M14.7,,,,,
RN7SKP176,"RNA, 7SK small nuclear pseudogene 176",,,106635536,ENSG00000260682
RP13-923O23.6,,,,,
SHROOM2,shroom family member 2,X83543,Q13796,357,ENSG00000146950
TRAV9-1,T cell receptor alpha variable 9-1,AE000659,A0A075B6T8,28678,ENSG00000211783
CTD-2666L21.3,,,,,
yfjN,,,,,
PKP3,plakophilin 3,Z98265,Q9Y446,11187,ENSG00000184363
ARID1A,AT-rich interaction domain 1A,AB001895,O14497,8289,ENSG00000117713
ZC3H12C,zinc finger CCCH-type containing 12C,,Q9C0D7,85463,ENSG00000149289
RP5-837I24.1,,,,,
ispH,,,,,
RP1-57E3.1,,,,,
Y_RNA.418,,,,,
RPL7AP31,ribosomal protein L7a pseudogene 31,,,728315,ENSG00000242083
ALDH3A2,aldehyde dehydrogenase 3 family member A2,L47162,P51648,224,ENSG00000072210
RNA5SP460,"RNA, 5S ribosomal pseudogene 460",,,100873704,ENSG00000252598
DDA1,DET1 and DDB1 associated 1,BC000615,Q9BW61,79016,
MIR3652,microRNA 3652,,,100500842,
SIR2,,,,,
IFNWP9,interferon omega 1 pseudogene 9,,,100130671,ENSG00000226597
yncD,,,,,
PAICSP1,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 1",,,780814,ENSG00000226055
STUB1,STIP1 homology and U-box containing protein 1,AF039689,Q9UNE7,10273,ENSG00000103266
ZNF487,zinc finger protein 487,,B1APH4,642819,ENSG00000243660
SNORD101,"small nucleolar RNA, C/D box 101",AY349602,,594837,ENSG00000206754
SEC31B,"SEC31 homolog B, COPII coat complex component",AF274863,Q9NQW1,25956,ENSG00000075826
SPBP4H10.14c,,,,,
GUSBP11,GUSB pseudogene 11,,Q6P575,91316,ENSG00000228315
LINC02192,long intergenic non-protein coding RNA 2192,,,100507534,ENSG00000261325
MYOM2,myomesin 2,,P54296,9172,ENSG00000036448
OR2B2,olfactory receptor family 2 subfamily B member 2,Z98744,Q9GZK3,81697,ENSG00000168131
CYP2J2,cytochrome P450 family 2 subfamily J member 2,BC032594,P51589,1573,ENSG00000134716
CTC-235G5.2,,,,,
RP11-629O4.1,,,,,
BPIFB5P,"BPI fold containing family B member 5, pseudogene",,,100505383,ENSG00000233146
BCLAF3,BCLAF1 and THRAP3 family member 3,AL833278,A2AJT9,256643,ENSG00000173681
RPL37P8,ribosomal protein L37 pseudogene 8,,,100271014,
RP11-474L11.5,,,,,
MIR548AG1,microRNA 548ag-1,,,100616450,
RPL19P21,ribosomal protein L19 pseudogene 21,,,392557,ENSG00000230508
RNA5SP378,"RNA, 5S ribosomal pseudogene 378",,,100873634,ENSG00000200516
SPBC17D11.03c,,,,,
LACC1,laccase domain containing 1,AK096044,Q8IV20,144811,ENSG00000179630
CLDN19,claudin 19,AK096063,Q8N6F1,149461,ENSG00000164007
ANAPC13,anaphase promoting complex subunit 13,AF086169,Q9BS18,25847,ENSG00000129055
YOR111W,,,,,
PSMA3-AS1,PSMA3 antisense RNA 1,,,379025,ENSG00000257621
RPP25,ribonuclease P and MRP subunit p25,AY034074,Q9BUL9,54913,ENSG00000178718
PEP12,,,,,
CHAMP1,chromosome alignment maintaining phosphoprotein 1,AK074894,Q96JM3,283489,ENSG00000198824
MAP1LC3C,microtubule associated protein 1 light chain 3 gamma,AF276659,Q9BXW4,440738,ENSG00000197769
RNU6-642P,"RNA, U6 small nuclear 642, pseudogene",,,106481384,ENSG00000200029
RP11-38G5.4,,,,,
TRK-TTT3-4,tRNA-Lys (TTT) 3-4,HG983933,,100049613,
WDR82P1,WD repeat domain 82 pseudogene 1,,,728505,ENSG00000234629
RP11-352D13.6,,,,,
C3orf85,chromosome 3 open reading frame 85,,A0A1B0GTC6,401081,ENSG00000241224
EPL1,,,,,
RP11-305F18.1,,,,,
RP11-336N8.1,,,,,
MTCL1P1,MTCL1 pseudogene 1,,,100288130,ENSG00000226554
RPL32P18,ribosomal protein L32 pseudogene 18,,,644907,
KSR1P1,kinase suppressor of ras 1 pseudogene 1,,,,ENSG00000229485
Y_RNA.563,,,,,
PTX3,pentraxin 3,X63613,P26022,5806,ENSG00000163661
RNU1-86P,"RNA, U1 small nuclear 86, pseudogene",,,106480666,ENSG00000251917
FCRL4,Fc receptor like 4,AF343661,Q96PJ5,83417,ENSG00000163518
Z82214.3,,,,,
YTHDF3-AS1,YTHDF3 antisense RNA 1 (head to head),"BM681776, BM967225, BQ631682",,101410533,ENSG00000270673
HNRNPABP1,heterogeneous nuclear ribonucleoprotein A/B pseudogene 1,,,390294,ENSG00000255734
RP11-561B11.1,,,,,
LRRC6,leucine rich repeat containing 6,U60666,Q86X45,23639,ENSG00000129295
C18orf8,,,,,
cpsG,,,,,
YEA4,,,,,
SPATA3-AS1,SPATA3 antisense RNA 1 (head to head),,,348761,ENSG00000238062
VGLL3,vestigial like family member 3,AF099505,A8MV65,389136,ENSG00000206538
ycgR,,,,,
ZNF710,zinc finger protein 710,AK094712,Q8N1W2,374655,ENSG00000140548
FMO6P,"flavin containing monooxygenase 6, pseudogene",AK130511,O60774,388714,ENSG00000117507
HIST2H3DP1,histone cluster 2 H3 family member d pseudogene 1,,,,ENSG00000213244
MYMK,"myomaker, myoblast fusion factor",BX324209,A6NI61,389827,ENSG00000187616
AHNAK,AHNAK nucleoprotein,M80899,Q09666,79026,ENSG00000124942
POM121L2,POM121 transmembrane nucleoporin like 2,AL021808,Q96KW2,94026,ENSG00000158553
RN7SL221P,"RNA, 7SL, cytoplasmic 221, pseudogene",,,106480982,ENSG00000239472
AC005841.1,,,,,
TRAPPC2P6,trafficking protein particle complex 2 pseudogene 6,AC009235,,,
TRBV5-4,T cell receptor beta variable 5-4,L36092,A0A0C4DH59,28611,ENSG00000230099
CCDC66,coiled-coil domain containing 66,AL832692,A2RUB6,285331,ENSG00000180376
RP11-503C24.2,,,,,
RP11-13K12.1,,,,,
U82670.9,,,,,
TUB-AS1,TUB antisense RNA 1,,,101927917,ENSG00000248332
RP11-293G6__B.8,,,,,
fhuD,,,,,
SIN3B,SIN3 transcription regulator family member B,AB014600,O75182,23309,
TGDS,"TDP-glucose 4,6-dehydratase",AF048686,O95455,23483,ENSG00000088451
MIR3689D2,microRNA 3689d-2,,,100616344,
PEX34,,,,,
ZC3H8,zinc finger CCCH-type containing 8,AF334161,Q8N5P1,84524,ENSG00000144161
CTSV,cathepsin V,Y14734,O60911,1515,ENSG00000136943
AL121932.1,,,,,
RNU1-64P,"RNA, U1 small nuclear 64, pseudogene",,,106480168,ENSG00000202313
POP8,,,,,
MIR628,microRNA 628,,,693213,ENSG00000283891
snoU13.280,,,,,
TEX10,testis expressed 10,AB060968,Q9NXF1,54881,ENSG00000136891
TRBJ2-6,T cell receptor beta joining 2-6,X02987,,28623,ENSG00000211770
AC006296.2,,,,,
SPCC1020.07,,,,,
ZFAND6P1,zinc finger AN1-type containing 6 pseudogene 1,,,100631382,ENSG00000244213
GLB1L3,galactosidase beta 1 like 3,,Q8NCI6,112937,ENSG00000166105
LINC00609,long intergenic non-protein coding RNA 609,DN993271,,,ENSG00000257585
ZFP57,ZFP57 zinc finger protein,AL050328,Q9NU63,346171,ENSG00000204644
SBP1,,,,,
MIR663B,microRNA 663b,,,100313824,ENSG00000221288
RP11-567I13.1,,,,,
ARID3C,AT-rich interaction domain 3C,,A6NKF2,138715,ENSG00000205143
MKK2,,,,,
pabC,,,,,
HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,AF064876,O60741,348980,ENSG00000164588
MTCYBP1,MT-CYB pseudogene 1,,,100499418,ENSG00000234179
SPAC22G7.03,,,,,
CTIF,cap binding complex dependent translation initiation factor,AB007887,O43310,9811,ENSG00000134030
RN7SKP83,"RNA, 7SK small nuclear pseudogene 83",,,106479131,ENSG00000252321
wtf20,,,,,
ACTBP3,ACTB pseudogene 3,,,63,
RNU6-316P,"RNA, U6 small nuclear 316, pseudogene",,,106481279,ENSG00000212329
ALOX15P1,arachidonate 15-lipoxygenase pseudogene 1,,,100652883,ENSG00000274114
OR7A11P,olfactory receptor family 7 subfamily A member 11 pseudogene,,,26669,ENSG00000198367
CSF1R,colony stimulating factor 1 receptor,U63963,P07333,1436,ENSG00000182578
RCE1,Ras converting CAAX endopeptidase 1,AF121951,Q9Y256,9986,ENSG00000173653
NOP14,NOP14 nucleolar protein,AB000467,P78316,8602,ENSG00000087269
RPS10P14,ribosomal protein S10 pseudogene 14,,,646942,ENSG00000213744
RP11-543D5.2,,,,,
mid2,,,,,
SESN1,sestrin 1,AF033120,Q9Y6P5,27244,ENSG00000080546
CTD-2328D6.1,,,,,
CTD-2270L9.2,,,,,
ubc6,,,,,
KLHL42,kelch like family member 42,AB037761,Q9P2K6,57542,ENSG00000087448
xseB,,,,,
FAM74A7,family with sequence similarity 74 member A7,,A6NL05,100996582,ENSG00000277260
LDLRAP1,low density lipoprotein receptor adaptor protein 1,BC029770,Q5SW96,26119,ENSG00000157978
RP11-395P13.1,,,,,
xylB,,,,,
RP11-20A20.2,,,,,
AC005000.1,,,,,
LINC00362,long intergenic non-protein coding RNA 362,,,,ENSG00000229483
PIGBOS1,PIGB opposite strand 1,,A0A0B4J2F0,101928527,ENSG00000225973
LINC01981,long intergenic non-protein coding RNA 1981,,,100996624,ENSG00000229243
AC009963.4,,,,,
TRNAI2,,,,,
MICOS10P1,MICOS10 pseudogene 1,"AL049782, U50530",,100462953,
AE000661.37,,,,,
RP11-570L15.1,,,,,
RP4-604G5.1,,,,,
CFAP221,cilia and flagella associated protein 221,,Q4G0U5,200373,ENSG00000163075
RNA5SP441,"RNA, 5S ribosomal pseudogene 441",,,100873689,ENSG00000252618
BRK1P2,BRK1 pseudogene 2,,,100874492,ENSG00000227983
MKRN7P,"makorin ring finger protein 7, pseudogene",,,7686,ENSG00000225849
Y_RNA.82,,,,,
ANTXRLP1,ANTXR like pseudogene 1,,,100996567,ENSG00000263482
KDM2A,lysine demethylase 2A,BC047486,Q9Y2K7,22992,ENSG00000173120
RHOXF1,Rhox homeobox family member 1,,Q8NHV9,158800,ENSG00000101883
RP11-66B24.5,,,,,
SPBC21C3.09c,,,,,
RP11-468N14.8,,,,,
PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2,U68111,P41236,5504,ENSG00000184203
SIGLEC17P,"sialic acid binding Ig like lectin 17, pseudogene",AF161341,,284367,ENSG00000171101
SLC19A2,solute carrier family 19 member 2,AF135488,O60779,10560,ENSG00000117479
THBD,thrombomodulin,,P07204,7056,ENSG00000178726
CORO2A,coronin 2A,U57057,Q92828,7464,ENSG00000106789
NUC1,,,,,
HARS2,"histidyl-tRNA synthetase 2, mitochondrial",U18937,P49590,23438,ENSG00000112855
WARS2-IT1,WARS2 intronic transcript 1,,,,ENSG00000224238
RP1-84O15.2,,,,,
CACUL1,CDK2 associated cullin domain 1,AK097728,Q86Y37,143384,ENSG00000151893
LINC01645,long intergenic non-protein coding RNA 1645,,,102724661,ENSG00000224968
RPL23AP5,ribosomal protein L23a pseudogene 5,Z97634,,729480,
TWIST2,twist family bHLH transcription factor 2,BC017907,Q8WVJ9,117581,ENSG00000233608
PYCR3,pyrroline-5-carboxylate reductase 3,AF086378,Q53H96,65263,ENSG00000104524
RP5-855D21.3,,,,,
KIAA1875,,,,,
ATF1,activating transcription factor 1,BC029619,P18846,466,ENSG00000123268
Y_RNA.781,,,,,
C17orf99,chromosome 17 open reading frame 99,AY358510,Q6UX52,100141515,ENSG00000187997
RBMY2EP,"RNA binding motif protein, Y-linked, family 2, member E pseudogene",U94388,,159125,ENSG00000223637
RPL37AP2,ribosomal protein L37a pseudogene 2,,,100271337,
RP11-654A16.3,,,,,
ZNF736P6Y,"zinc finger protein 736 pseudogene 6, Y-linked",,,100419732,ENSG00000224634
ZNF736P1Y,"zinc finger protein 736 pseudogene 1, Y-linked",,,442486,ENSG00000223978
MTND6P4,MT-ND6 pseudogene 4,,,106478943,ENSG00000249119
AL137127.1,,,,,
AC009120.4,,,,,
PRSS46P,"serine protease 46, pseudogene",,E5RG02,100287362,ENSG00000261603
KLRC3,killer cell lectin like receptor C3,L14542,Q07444,3823,ENSG00000205810
LNCTAM34A,long non coding transcriptional activator of miR34a,,,102724571,ENSG00000234546
PPP2R5D,protein phosphatase 2 regulatory subunit B'delta,L76702,Q14738,5528,ENSG00000112640
MGC10955,,,,,
ITPR2,"inositol 1,4,5-trisphosphate receptor type 2",D26350,Q14571,3709,ENSG00000123104
RAB34,"RAB34, member RAS oncogene family",AF322067,"P0DI83, Q9BZG1",83871,ENSG00000109113
CEACAMP8,carcinoembryonic antigen related cell adhesion molecule pseudogene 8,U06676,,1096,ENSG00000236932
PSMD12,"proteasome 26S subunit, non-ATPase 12",AB003103,O00232,5718,ENSG00000197170
TRQ-CTG4-1,transfer RNA-Gln (CTG) 4-1,HG983724,,100189056,
RP11-462D18.2,,,,,
CYP2A7P1,cytochrome P450 family 2 subfamily A member 7 pseudogene 1,U22030,,1550,ENSG00000213908
ATP6V1E1,ATPase H+ transporting V1 subunit E1,X76228,P36543,529,ENSG00000131100
AL160291.1,,,,,
tesA,,,,,
CTC-451A6.5,,,,,
FERD3L,Fer3 like bHLH transcription factor,AF369897,Q96RJ6,222894,ENSG00000146618
yfdP,,,,,
MIR2276,microRNA 2276,,,100313842,ENSG00000252695
RP11-552J9.9,,,,,
CTC-273B12.6,,,,,
TNR,tenascin R,X98085,Q92752,7143,ENSG00000116147
EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit,,Q92800,2145,ENSG00000108799
AF186192.5,,,,,
RP11-841C19.1,,,,,
SNORD134,"small nucleolar RNA, C/D box 134",,,106633803,
PAU7,,,,,
PEX5L-AS1,PEX5L antisense RNA 1,,,,ENSG00000243799
SNORD112.19,,,,,
SCD5,stearoyl-CoA desaturase 5,AF389338,Q86SK9,79966,ENSG00000145284
